model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,0.001,,20,0.5833333333333334,0.16666666666666666,1.0
simple_NN_PL_model_3,1e-06,,3,0.5833333333333334,0.16666666666666666,1.0
simple_NN_PL_model_2,0.001,,5,0.5,0.0,1.0
simple_NN_PL_model_2,0.0001,,10,0.5,1.0,0.0
simple_NN_PL_model_1,0.01,,10,0.5,1.0,0.0
simple_NN_PL_model_2,0.01,,10,0.5,0.0,1.0
simple_NN_PL_model_2,1e-06,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_1,0.001,,10,0.5,1.0,0.0
simple_NN_PL_model_1,0.0001,,50,0.5,0.0,1.0
simple_NN_PL_model_2,1e-06,,50,0.5,1.0,0.0
simple_NN_PL_model_3,1e-05,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_1,1e-05,,50,0.5,0.0,1.0
simple_NN_PL_model_3,1e-05,0.33,10,0.5,0.0,1.0
simple_NN_PL_model_3,1e-06,0.33,50,0.5,1.0,0.0
simple_NN_PL_model_3,0.0001,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_2,0.0001,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_1,0.0001,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_3,1e-06,,20,0.5,0.16666666666666666,0.8333333333333334
simple_NN_PL_model_2,0.01,,5,0.5,0.0,1.0
simple_NN_PL_model_1,0.0001,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_1,0.0001,,20,0.5,1.0,0.0
simple_NN_PL_model_2,0.0001,,20,0.5,1.0,0.0
simple_NN_PL_model_1,1e-06,0.33,20,0.5,1.0,0.0
simple_NN_PL_model_1,1e-05,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_3,0.0001,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_2,1e-06,0.33,5,0.5,1.0,0.0
simple_NN_PL_model_2,0.001,0.33,50,0.5,0.0,1.0
simple_NN_PL_model_3,0.001,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_2,1e-06,,5,0.5,0.0,1.0
simple_NN_PL_model_1,1e-05,,20,0.5,0.0,1.0
simple_NN_PL_model_1,0.001,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_3,1e-06,,10,0.5,0.8333333333333334,0.16666666666666666
simple_NN_PL_model_2,1e-06,,10,0.5,0.0,1.0
simple_NN_PL_model_2,1e-06,,20,0.5,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,3,0.5,0.0,1.0
simple_NN_PL_model_1,0.01,0.33,10,0.5,0.0,1.0
simple_NN_PL_model_3,0.0001,0.33,10,0.5,0.0,1.0
simple_NN_PL_model_1,0.01,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_1,1e-05,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_3,0.01,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_1,0.001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_2,0.001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_3,0.001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_1,0.0001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_2,0.0001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_3,0.0001,0.33,5,0.5,0.0,1.0
simple_NN_PL_model_2,0.001,0.33,20,0.5,0.0,1.0
simple_NN_PL_model_3,1e-06,0.33,5,0.5,1.0,0.0
