model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper_withDropout,1e-06,0.33,100,0.4775,1.0,0.0
CNN_model_paper,1e-05,0.33,50,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,50,0.4775,1.0,0.0
CNN_model_paper,1e-06,0.33,100,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,0.33,50,0.4775,1.0,0.0
CNN_model_paper,1e-06,0.33,50,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,50,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,,100,0.4775,1.0,0.0
CNN_model_paper,1e-07,0.33,50,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,50,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,0.33,50,0.4775,1.0,0.0
CNN_model_paper,0.001,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,1e-07,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,3,0.4775,1.0,0.0
CNN_model_paper2,1e-07,0.33,3,0.4775,1.0,0.0
CNN_model_paper,1e-07,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,0.33,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,3,0.4775,1.0,0.0
CNN_model_paper,1e-06,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,0.33,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,3,0.4775,1.0,0.0
CNN_model_paper,1e-05,0.33,3,0.4775,1.0,0.0
cnn_model_succeeded,0.0001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,0.33,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,3,0.4775,1.0,0.0
CNN_model_paper,0.0001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,0.001,0.33,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,0.33,3,0.4775,1.0,0.0
cnn_model_succeeded,1e-07,0.33,3,0.4775,1.0,0.0
CNN_model_paper,0.001,,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,,3,0.4775,1.0,0.0
CNN_model_paper,1e-07,,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,,3,0.4775,1.0,0.0
CNN_model_paper,1e-06,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,,3,0.4775,1.0,0.0
CNN_model_paper,1e-05,,3,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,,3,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,,3,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,,3,0.4775,1.0,0.0
CNN_model_paper,0.0001,,3,0.4775,1.0,0.0
cnn_model_succeeded,0.001,,3,0.4775,1.0,0.0
simple_CNN_model_1,0.001,,3,0.4775,1.0,0.0
CNN_model_paper,0.001,0.33,3,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,,1,0.4775,1.0,0.0
simple_CNN_model_1,0.001,0.33,5,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,1,0.4775,1.0,0.0
CNN_model_paper2,1e-07,0.33,1,0.4775,1.0,0.0
CNN_model_paper,1e-07,0.33,1,0.4775,1.0,0.0
cnn_model_succeeded,1e-06,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,0.33,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,1,0.4775,1.0,0.0
CNN_model_paper,1e-06,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,0.33,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,1,0.4775,1.0,0.0
CNN_model_paper,1e-05,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,0.33,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,1,0.4775,1.0,0.0
CNN_model_paper,0.0001,0.33,1,0.4775,1.0,0.0
cnn_model_succeeded,0.001,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,0.001,0.33,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,0.33,1,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,1e-07,0.33,1,0.4775,1.0,0.0
cnn_model_succeeded,1e-07,0.33,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,,1,0.4775,1.0,0.0
CNN_model_paper2,1e-07,,1,0.4775,1.0,0.0
CNN_model_paper,1e-07,,1,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,,1,0.4775,1.0,0.0
CNN_model_paper2,1e-06,,1,0.4775,1.0,0.0
CNN_model_paper,1e-06,,1,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,,1,0.4775,1.0,0.0
CNN_model_paper,1e-05,,1,0.4775,1.0,0.0
CNN_model_paper,0.001,,1,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,,1,0.4775,1.0,0.0
CNN_model_paper,0.0001,,1,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,,1,0.4775,1.0,0.0
simple_CNN_model_1,0.001,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,,1,0.4775,1.0,0.0
CNN_model_paper2,0.001,,1,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,5,0.4775,1.0,0.0
CNN_model_paper,0.001,0.33,5,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,5,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,10,0.4775,1.0,0.0
CNN_model_paper,1e-07,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,10,0.4775,1.0,0.0
CNN_model_paper,1e-06,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,0.33,10,0.4775,1.0,0.0
CNN_model_paper,1e-05,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1,0.001,,10,0.4775,1.0,0.0
simple_CNN_model_1,0.0001,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,10,0.4775,1.0,0.0
CNN_model_paper,0.0001,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,10,0.4775,1.0,0.0
simple_CNN_model_1,0.001,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,10,0.4775,1.0,0.0
CNN_model_paper2,0.001,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,,10,0.4775,1.0,0.0
CNN_model_paper,0.0001,,10,0.4775,1.0,0.0
CNN_model_paper,0.001,0.33,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-07,,10,0.4775,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.4775,1.0,0.0
cnn_model_succeeded,0.001,0.33,20,0.4775,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,20,0.4775,1.0,0.0
simple_CNN_model_1,0.001,0.33,20,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.4775,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.4775,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.4775,1.0,0.0
CNN_model_paper,1e-07,,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,0.0001,,10,0.4775,1.0,0.0
simple_CNN_model_1,1e-06,,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-06,,10,0.4775,1.0,0.0
CNN_model_paper,1e-06,,10,0.4775,1.0,0.0
simple_CNN_model_1,1e-05,,10,0.4775,1.0,0.0
CNN_model_paper_withDropout,1e-05,,10,0.4775,1.0,0.0
CNN_model_paper,1e-05,,10,0.4775,1.0,0.0
